split,tgt_msg,src_msg,accuracy,f1_score,precision,recall
20,2,5,0.751,0.732,0.807,0.696
20,2,6,0.751,0.732,0.807,0.696
20,2,7,0.751,0.732,0.807,0.696
20,2,8,0.751,0.732,0.807,0.696
20,2,9,0.751,0.732,0.807,0.696
20,3,0,0.747,0.727,0.78,0.697
20,3,1,0.736,0.72,0.789,0.684
20,3,2,0.736,0.72,0.789,0.684
20,3,3,0.753,0.736,0.801,0.702
20,3,4,0.751,0.732,0.807,0.696
20,3,5,0.751,0.732,0.807,0.696
20,3,6,0.751,0.732,0.807,0.696
20,3,7,0.751,0.732,0.807,0.696
20,3,8,0.751,0.732,0.807,0.696
20,3,9,0.751,0.732,0.807,0.696
20,4,0,0.747,0.727,0.78,0.697
20,4,1,0.736,0.72,0.789,0.684
20,4,2,0.736,0.72,0.789,0.684
20,4,3,0.736,0.72,0.789,0.684
20,4,4,0.753,0.736,0.801,0.702
20,4,5,0.751,0.732,0.807,0.696
20,4,6,0.751,0.732,0.807,0.696
20,4,7,0.751,0.732,0.807,0.696
20,4,8,0.751,0.732,0.807,0.696
20,4,9,0.751,0.732,0.807,0.696
20,5,0,0.747,0.727,0.78,0.697
20,5,1,0.736,0.72,0.789,0.684
20,5,2,0.736,0.72,0.789,0.684
20,5,3,0.736,0.72,0.789,0.684
20,5,4,0.736,0.72,0.789,0.684
20,5,5,0.753,0.736,0.801,0.702
20,5,6,0.751,0.732,0.807,0.696
20,5,7,0.751,0.732,0.807,0.696
20,5,8,0.751,0.732,0.807,0.696
20,5,9,0.751,0.732,0.807,0.696
20,6,0,0.747,0.727,0.78,0.697
20,6,1,0.736,0.72,0.789,0.684
20,6,2,0.736,0.72,0.789,0.684
20,6,3,0.736,0.72,0.789,0.684
20,6,4,0.736,0.72,0.789,0.684
20,6,5,0.736,0.72,0.789,0.684
20,6,6,0.753,0.736,0.801,0.702
20,6,7,0.751,0.732,0.807,0.696
20,6,8,0.751,0.732,0.807,0.696
20,6,9,0.751,0.732,0.807,0.696
20,7,0,0.747,0.727,0.78,0.697
20,7,1,0.736,0.72,0.789,0.684
20,7,2,0.736,0.72,0.789,0.684
20,7,3,0.736,0.72,0.789,0.684
20,7,4,0.736,0.72,0.789,0.684
20,7,5,0.736,0.72,0.789,0.684
20,7,6,0.736,0.72,0.789,0.684
20,7,7,0.753,0.736,0.801,0.702
20,7,8,0.751,0.732,0.807,0.696
