split,tgt_msg,src_msg,accuracy,f1_score,precision,recall
20,2,5,0.618,0.593,0.596,0.596
20,2,6,0.618,0.593,0.596,0.596
20,2,7,0.618,0.593,0.596,0.596
20,2,8,0.618,0.593,0.596,0.596
20,2,9,0.618,0.593,0.596,0.596
20,3,0,0.613,0.591,0.585,0.6
20,3,1,0.618,0.604,0.607,0.603
20,3,2,0.622,0.606,0.61,0.605
20,3,3,0.64,0.622,0.621,0.626
20,3,4,0.622,0.596,0.6,0.598
20,3,5,0.622,0.596,0.6,0.598
20,3,6,0.622,0.596,0.6,0.598
20,3,7,0.618,0.593,0.596,0.596
20,3,8,0.618,0.593,0.596,0.596
20,3,9,0.618,0.593,0.596,0.596
20,4,0,0.613,0.591,0.585,0.6
20,4,1,0.618,0.604,0.607,0.603
20,4,2,0.618,0.604,0.607,0.603
20,4,3,0.622,0.606,0.61,0.605
20,4,4,0.64,0.622,0.621,0.626
20,4,5,0.622,0.596,0.6,0.598
20,4,6,0.622,0.596,0.6,0.598
20,4,7,0.622,0.596,0.6,0.598
20,4,8,0.622,0.596,0.6,0.598
20,4,9,0.618,0.593,0.596,0.596
20,5,0,0.613,0.591,0.585,0.6
20,5,1,0.618,0.604,0.607,0.603
20,5,2,0.618,0.604,0.607,0.603
20,5,3,0.622,0.606,0.61,0.605
20,5,4,0.622,0.606,0.61,0.605
20,5,5,0.64,0.622,0.621,0.626
20,5,6,0.622,0.596,0.6,0.598
20,5,7,0.622,0.596,0.6,0.598
20,5,8,0.622,0.596,0.6,0.598
20,5,9,0.622,0.596,0.6,0.598
20,6,0,0.613,0.591,0.585,0.6
20,6,1,0.618,0.604,0.607,0.603
20,6,2,0.618,0.604,0.607,0.603
20,6,3,0.618,0.604,0.607,0.603
20,6,4,0.622,0.606,0.61,0.605
20,6,5,0.622,0.606,0.61,0.605
20,6,6,0.64,0.622,0.621,0.626
20,6,7,0.622,0.596,0.6,0.598
20,6,8,0.622,0.596,0.6,0.598
20,6,9,0.622,0.596,0.6,0.598
20,7,0,0.613,0.591,0.585,0.6
20,7,1,0.618,0.604,0.607,0.603
20,7,2,0.618,0.604,0.607,0.603
20,7,3,0.618,0.604,0.607,0.603
20,7,4,0.622,0.606,0.61,0.605
20,7,5,0.622,0.606,0.61,0.605
20,7,6,0.622,0.606,0.61,0.605
20,7,7,0.64,0.622,0.621,0.626
20,7,8,0.622,0.596,0.6,0.598
20,7,9,0.622,0.596,0.6,0.598
20,8,0,0.613,0.591,0.585,0.6
20,8,1,0.618,0.604,0.607,0.603
20,8,2,0.618,0.604,0.607,0.603
20,8,3,0.618,0.604,0.607,0.603
20,8,4,0.618,0.604,0.607,0.603
20,8,5,0.622,0.606,0.61,0.605
20,8,6,0.622,0.606,0.61,0.605
20,8,7,0.622,0.606,0.61,0.605
20,8,8,0.64,0.622,0.621,0.626
20,8,9,0.622,0.596,0.6,0.598
20,9,0,0.613,0.591,0.585,0.6
20,9,1,0.618,0.604,0.607,0.603
20,9,2,0.618,0.604,0.607,0.603
20,9,3,0.618,0.604,0.607,0.603
20,9,4,0.618,0.604,0.607,0.603
20,9,5,0.622,0.606,0.61,0.605
20,9,6,0.622,0.606,0.61,0.605
20,9,7,0.622,0.606,0.61,0.605
20,9,8,0.622,0.606,0.61,0.605
20,9,9,0.64,0.622,0.621,0.626
30,0,0,0.641,0.623,0.638,0.613
30,0,1,0.624,0.598,0.597,0.6
30,0,2,0.624,0.598,0.597,0.6
30,0,3,0.624,0.598,0.597,0.6
30,0,4,0.624,0.598,0.597,0.6
30,0,5,0.624,0.598,0.597,0.6
30,0,6,0.624,0.598,0.597,0.6
30,0,7,0.624,0.598,0.597,0.6
30,0,8,0.624,0.598,0.597,0.6
30,0,9,0.624,0.598,0.597,0.6
30,1,0,0.637,0.603,0.605,0.604
30,1,1,0.631,0.603,0.602,0.607
30,1,2,0.64,0.613,0.616,0.613
30,1,3,0.637,0.611,0.613,0.611
30,1,4,0.637,0.611,0.613,0.611
30,1,5,0.637,0.611,0.613,0.611
30,1,6,0.637,0.611,0.613,0.611
30,1,7,0.637,0.611,0.613,0.611
30,1,8,0.637,0.611,0.613,0.611
30,1,9,0.637,0.611,0.613,0.611
30,2,0,0.637,0.603,0.605,0.604
30,2,1,0.64,0.62,0.62,0.621
30,2,2,0.631,0.603,0.602,0.607
30,2,3,0.64,0.613,0.616,0.613
30,2,4,0.64,0.613,0.616,0.613
30,2,5,0.637,0.611,0.613,0.611
30,2,6,0.637,0.611,0.613,0.611
30,2,7,0.637,0.611,0.613,0.611
30,2,8,0.637,0.611,0.613,0.611
30,2,9,0.637,0.611,0.613,0.611
30,3,0,0.637,0.603,0.605,0.604
30,3,1,0.638,0.619,0.62,0.62
30,3,2,0.641,0.621,0.621,0.623
30,3,3,0.631,0.603,0.602,0.607
30,3,4,0.64,0.613,0.616,0.613
30,3,5,0.64,0.613,0.616,0.613
30,3,6,0.64,0.613,0.616,0.613
30,3,7,0.637,0.611,0.613,0.611
30,3,8,0.637,0.611,0.613,0.611
30,3,9,0.637,0.611,0.613,0.611
30,4,0,0.637,0.603,0.605,0.604
30,4,1,0.638,0.619,0.62,0.62
30,4,2,0.64,0.62,0.62,0.621
30,4,3,0.641,0.621,0.621,0.623
30,4,4,0.631,0.603,0.602,0.607
30,4,5,0.64,0.613,0.616,0.613
30,4,6,0.64,0.613,0.616,0.613
30,4,7,0.64,0.613,0.616,0.613
30,4,8,0.64,0.613,0.616,0.613
30,4,9,0.637,0.611,0.613,0.611
30,5,0,0.637,0.603,0.605,0.604
30,5,1,0.638,0.619,0.62,0.62
30,5,2,0.638,0.619,0.62,0.62
30,5,3,0.641,0.621,0.621,0.623
30,5,4,0.641,0.621,0.621,0.623
30,5,5,0.631,0.603,0.602,0.607
30,5,6,0.64,0.613,0.616,0.613
30,5,7,0.64,0.613,0.616,0.613
30,5,8,0.64,0.613,0.616,0.613
30,5,9,0.64,0.613,0.616,0.613
30,6,0,0.637,0.603,0.605,0.604
30,6,1,0.638,0.619,0.62,0.62
30,6,2,0.638,0.619,0.62,0.62
30,6,3,0.64,0.62,0.62,0.621
30,6,4,0.641,0.621,0.621,0.623
30,6,5,0.641,0.621,0.621,0.623
30,6,6,0.631,0.603,0.602,0.607
30,6,7,0.64,0.613,0.616,0.613
30,6,8,0.64,0.613,0.616,0.613
30,6,9,0.64,0.613,0.616,0.613
30,7,0,0.637,0.603,0.605,0.604
30,7,1,0.638,0.619,0.62,0.62
30,7,2,0.638,0.619,0.62,0.62
30,7,3,0.638,0.619,0.62,0.62
30,7,4,0.641,0.621,0.621,0.623
30,7,5,0.641,0.621,0.621,0.623
30,7,6,0.641,0.621,0.621,0.623
30,7,7,0.631,0.603,0.602,0.607
30,7,8,0.64,0.613,0.616,0.613
30,7,9,0.64,0.613,0.616,0.613
30,8,0,0.637,0.603,0.605,0.604
30,8,1,0.638,0.619,0.62,0.62
30,8,2,0.638,0.619,0.62,0.62
30,8,3,0.638,0.619,0.62,0.62
30,8,4,0.638,0.619,0.62,0.62
30,8,5,0.641,0.621,0.621,0.623
30,8,6,0.641,0.621,0.621,0.623
30,8,7,0.641,0.621,0.621,0.623
30,8,8,0.631,0.603,0.602,0.607
30,8,9,0.64,0.613,0.616,0.613
30,9,0,0.637,0.603,0.605,0.604
30,9,1,0.638,0.619,0.62,0.62
30,9,2,0.638,0.619,0.62,0.62
30,9,3,0.638,0.619,0.62,0.62
30,9,4,0.638,0.619,0.62,0.62
30,9,5,0.641,0.621,0.621,0.623
30,9,6,0.641,0.621,0.621,0.623
30,9,7,0.641,0.621,0.621,0.623
30,9,8,0.641,0.621,0.621,0.623
30,9,9,0.631,0.603,0.602,0.607
40,0,0,0.655,0.625,0.633,0.62
40,0,1,0.633,0.599,0.596,0.606
40,0,2,0.633,0.599,0.596,0.606
40,0,3,0.633,0.599,0.596,0.606
40,0,4,0.633,0.599,0.596,0.606
40,0,5,0.633,0.599,0.596,0.606
40,0,6,0.633,0.599,0.596,0.606
40,0,7,0.633,0.599,0.596,0.606
40,0,8,0.633,0.599,0.596,0.606
40,0,9,0.633,0.599,0.596,0.606
40,1,0,0.63,0.599,0.615,0.589
40,1,1,0.592,0.567,0.568,0.568
40,1,2,0.612,0.589,0.593,0.587
40,1,3,0.608,0.584,0.589,0.582
40,1,4,0.608,0.584,0.589,0.582
40,1,5,0.608,0.584,0.589,0.582
40,1,6,0.608,0.584,0.589,0.582
40,1,7,0.608,0.584,0.589,0.582
40,1,8,0.608,0.584,0.589,0.582
40,1,9,0.608,0.584,0.589,0.582
40,2,0,0.63,0.599,0.615,0.589
40,2,1,0.603,0.573,0.58,0.569
40,2,2,0.592,0.567,0.568,0.568
40,2,3,0.612,0.589,0.593,0.587
40,2,4,0.612,0.589,0.593,0.587
40,2,5,0.608,0.584,0.589,0.582
40,2,6,0.608,0.584,0.589,0.582
40,2,7,0.608,0.584,0.589,0.582
40,2,8,0.608,0.584,0.589,0.582
40,2,9,0.608,0.584,0.589,0.582
40,3,0,0.63,0.599,0.615,0.589
40,3,1,0.603,0.573,0.58,0.569
40,3,2,0.603,0.572,0.58,0.568
40,3,3,0.592,0.567,0.568,0.568
40,3,4,0.612,0.589,0.593,0.587
40,3,5,0.612,0.589,0.593,0.587
40,3,6,0.612,0.589,0.593,0.587
40,3,7,0.608,0.584,0.589,0.582
40,3,8,0.608,0.584,0.589,0.582
40,3,9,0.608,0.584,0.589,0.582
40,4,0,0.63,0.599,0.615,0.589
40,4,1,0.603,0.573,0.58,0.569
40,4,2,0.603,0.573,0.58,0.569
40,4,3,0.603,0.572,0.58,0.568
40,4,4,0.592,0.567,0.568,0.568
40,4,5,0.612,0.589,0.593,0.587
40,4,6,0.612,0.589,0.593,0.587
40,4,7,0.612,0.589,0.593,0.587
40,4,8,0.612,0.589,0.593,0.587
40,4,9,0.608,0.584,0.589,0.582
40,5,0,0.63,0.599,0.615,0.589
40,5,1,0.603,0.573,0.58,0.569
40,5,2,0.603,0.573,0.58,0.569
40,5,3,0.603,0.572,0.58,0.568
40,5,4,0.603,0.572,0.58,0.568
40,5,5,0.592,0.567,0.568,0.568
40,5,6,0.612,0.589,0.593,0.587
40,5,7,0.612,0.589,0.593,0.587
40,5,8,0.612,0.589,0.593,0.587
40,5,9,0.612,0.589,0.593,0.587
40,6,0,0.63,0.599,0.615,0.589
40,6,1,0.603,0.573,0.58,0.569
40,6,2,0.603,0.573,0.58,0.569
40,6,3,0.603,0.573,0.58,0.569
40,6,4,0.603,0.572,0.58,0.568
40,6,5,0.603,0.572,0.58,0.568
40,6,6,0.592,0.567,0.568,0.568
40,6,7,0.612,0.589,0.593,0.587
40,6,8,0.612,0.589,0.593,0.587
40,6,9,0.612,0.589,0.593,0.587
40,7,0,0.63,0.599,0.615,0.589
40,7,1,0.603,0.573,0.58,0.569
40,7,2,0.603,0.573,0.58,0.569
40,7,3,0.603,0.573,0.58,0.569
40,7,4,0.603,0.572,0.58,0.568
40,7,5,0.603,0.572,0.58,0.568
40,7,6,0.603,0.572,0.58,0.568
40,7,7,0.592,0.567,0.568,0.568
40,7,8,0.612,0.589,0.593,0.587
40,7,9,0.612,0.589,0.593,0.587
40,8,0,0.63,0.599,0.615,0.589
40,8,1,0.603,0.573,0.58,0.569
40,8,2,0.603,0.573,0.58,0.569
40,8,3,0.603,0.573,0.58,0.569
40,8,4,0.603,0.573,0.58,0.569
40,8,5,0.603,0.572,0.58,0.568
40,8,6,0.603,0.572,0.58,0.568
40,8,7,0.603,0.572,0.58,0.568
40,8,8,0.592,0.567,0.568,0.568
40,8,9,0.612,0.589,0.593,0.587
40,9,0,0.63,0.599,0.615,0.589
40,9,1,0.603,0.573,0.58,0.569
40,9,2,0.603,0.573,0.58,0.569
40,9,3,0.603,0.573,0.58,0.569
40,9,4,0.603,0.573,0.58,0.569
40,9,5,0.603,0.572,0.58,0.568
40,9,6,0.603,0.572,0.58,0.568
40,9,7,0.603,0.572,0.58,0.568
40,9,8,0.603,0.572,0.58,0.568
40,9,9,0.592,0.567,0.568,0.568
