split,tgt_msg,src_msg,accuracy,f1_score,precision,recall
20,2,5,0.692,0.676,0.688,0.672
20,2,6,0.696,0.675,0.687,0.671
20,2,7,0.694,0.675,0.684,0.673
20,2,8,0.699,0.682,0.693,0.677
20,2,9,0.697,0.682,0.694,0.676
20,3,0,0.707,0.692,0.702,0.688
20,3,1,0.679,0.663,0.679,0.655
20,3,2,0.686,0.67,0.684,0.663
20,3,3,0.677,0.662,0.674,0.657
20,3,4,0.692,0.675,0.69,0.668
20,3,5,0.683,0.665,0.682,0.658
20,3,6,0.694,0.675,0.683,0.673
20,3,7,0.701,0.687,0.701,0.681
20,3,8,0.69,0.67,0.679,0.667
20,3,9,0.696,0.677,0.688,0.673
20,4,0,0.705,0.691,0.701,0.687
20,4,1,0.685,0.669,0.686,0.661
20,4,2,0.683,0.669,0.688,0.658
20,4,3,0.679,0.665,0.678,0.659
20,4,4,0.69,0.676,0.69,0.669
20,4,5,0.694,0.677,0.69,0.672
20,4,6,0.699,0.683,0.696,0.678
20,4,7,0.694,0.679,0.694,0.672
20,4,8,0.696,0.682,0.695,0.676
20,4,9,0.688,0.671,0.685,0.666
20,5,0,0.708,0.691,0.703,0.686
20,5,1,0.666,0.649,0.664,0.641
20,5,2,0.679,0.667,0.684,0.657
20,5,3,0.685,0.673,0.689,0.664
20,5,4,0.686,0.672,0.683,0.665
20,5,5,0.69,0.674,0.69,0.667
20,5,6,0.705,0.688,0.702,0.681
20,5,7,0.696,0.68,0.692,0.675
20,5,8,0.701,0.69,0.703,0.684
20,5,9,0.699,0.688,0.7,0.684
20,6,0,0.707,0.689,0.7,0.683
20,6,1,0.672,0.657,0.673,0.648
20,6,2,0.675,0.663,0.68,0.654
20,6,3,0.679,0.668,0.684,0.658
20,6,4,0.688,0.673,0.688,0.665
20,6,5,0.69,0.674,0.687,0.668
20,6,6,0.699,0.682,0.697,0.675
20,6,7,0.701,0.69,0.703,0.684
20,6,8,0.707,0.693,0.708,0.685
20,6,9,0.697,0.685,0.695,0.681
20,7,0,0.705,0.689,0.703,0.682
20,7,1,0.668,0.655,0.669,0.647
20,7,2,0.67,0.654,0.672,0.644
20,7,3,0.673,0.659,0.676,0.649
20,7,4,0.683,0.667,0.682,0.659
20,7,5,0.694,0.678,0.692,0.67
20,7,6,0.694,0.678,0.691,0.672
20,7,7,0.701,0.687,0.701,0.68
20,7,8,0.701,0.688,0.701,0.681
20,7,9,0.703,0.689,0.703,0.683
20,8,0,0.699,0.681,0.698,0.674
20,8,1,0.67,0.657,0.672,0.649
20,8,2,0.672,0.662,0.68,0.653
20,8,3,0.672,0.659,0.677,0.65
20,8,4,0.694,0.682,0.696,0.674
20,8,5,0.694,0.679,0.69,0.674
20,8,6,0.699,0.684,0.696,0.679
20,8,7,0.699,0.685,0.698,0.681
20,8,8,0.697,0.682,0.694,0.678
20,8,9,0.703,0.692,0.708,0.685
20,9,0,0.699,0.679,0.695,0.671
20,9,1,0.673,0.659,0.675,0.651
20,9,2,0.672,0.659,0.674,0.652
20,9,3,0.673,0.662,0.682,0.651
20,9,4,0.681,0.667,0.682,0.658
20,9,5,0.688,0.669,0.682,0.663
20,9,6,0.696,0.68,0.692,0.676
20,9,7,0.701,0.687,0.702,0.68
20,9,8,0.703,0.688,0.706,0.68
20,9,9,0.703,0.689,0.702,0.684
30,0,0,0.721,0.695,0.7,0.694
30,0,1,0.702,0.674,0.675,0.683
30,0,2,0.7,0.677,0.676,0.682
30,0,3,0.691,0.667,0.666,0.672
30,0,4,0.696,0.673,0.673,0.674
30,0,5,0.7,0.678,0.676,0.682
30,0,6,0.699,0.676,0.674,0.679
30,0,7,0.708,0.682,0.684,0.683
30,0,8,0.708,0.685,0.684,0.688
30,0,9,0.705,0.68,0.678,0.684
30,1,0,0.712,0.683,0.687,0.682
30,1,1,0.696,0.668,0.669,0.671
30,1,2,0.706,0.684,0.684,0.686
30,1,3,0.701,0.681,0.678,0.686
30,1,4,0.702,0.678,0.676,0.682
30,1,5,0.704,0.68,0.679,0.683
30,1,6,0.707,0.684,0.684,0.685
30,1,7,0.71,0.689,0.688,0.692
30,1,8,0.708,0.686,0.686,0.688
30,1,9,0.708,0.683,0.684,0.685
30,2,0,0.72,0.693,0.699,0.691
30,2,1,0.706,0.683,0.687,0.682
30,2,2,0.705,0.685,0.688,0.684
30,2,3,0.71,0.692,0.692,0.693
30,2,4,0.71,0.686,0.684,0.689
30,2,5,0.705,0.684,0.681,0.688
30,2,6,0.707,0.688,0.687,0.69
30,2,7,0.705,0.682,0.681,0.684
30,2,8,0.708,0.686,0.686,0.687
30,2,9,0.706,0.681,0.681,0.683
30,3,0,0.728,0.705,0.71,0.703
30,3,1,0.706,0.683,0.684,0.684
30,3,2,0.707,0.684,0.69,0.68
30,3,3,0.712,0.694,0.697,0.694
30,3,4,0.711,0.689,0.694,0.687
30,3,5,0.7,0.683,0.682,0.685
30,3,6,0.712,0.692,0.692,0.693
30,3,7,0.716,0.695,0.695,0.697
30,3,8,0.715,0.692,0.693,0.694
30,3,9,0.712,0.69,0.691,0.692
30,4,0,0.727,0.704,0.708,0.703
30,4,1,0.707,0.685,0.688,0.685
30,4,2,0.704,0.678,0.681,0.677
30,4,3,0.705,0.681,0.685,0.68
30,4,4,0.71,0.687,0.689,0.687
30,4,5,0.712,0.695,0.695,0.696
30,4,6,0.708,0.689,0.69,0.69
30,4,7,0.712,0.692,0.695,0.691
30,4,8,0.712,0.691,0.692,0.692
30,4,9,0.707,0.685,0.683,0.688
30,5,0,0.712,0.685,0.686,0.685
30,5,1,0.706,0.685,0.689,0.683
30,5,2,0.705,0.681,0.684,0.68
30,5,3,0.708,0.687,0.688,0.687
30,5,4,0.708,0.689,0.689,0.691
30,5,5,0.704,0.683,0.685,0.684
30,5,6,0.713,0.694,0.695,0.695
30,5,7,0.711,0.692,0.694,0.69
30,5,8,0.715,0.695,0.698,0.694
30,5,9,0.71,0.687,0.687,0.688
30,6,0,0.717,0.691,0.691,0.692
30,6,1,0.696,0.674,0.678,0.672
30,6,2,0.699,0.674,0.677,0.673
30,6,3,0.701,0.678,0.679,0.677
30,6,4,0.705,0.685,0.688,0.684
30,6,5,0.707,0.69,0.69,0.691
30,6,6,0.716,0.698,0.702,0.697
30,6,7,0.711,0.692,0.696,0.688
30,6,8,0.717,0.699,0.699,0.7
30,6,9,0.71,0.689,0.69,0.69
30,7,0,0.706,0.679,0.68,0.678
30,7,1,0.694,0.672,0.675,0.672
30,7,2,0.694,0.672,0.676,0.67
30,7,3,0.699,0.676,0.676,0.677
30,7,4,0.705,0.688,0.692,0.686
30,7,5,0.7,0.682,0.683,0.682
30,7,6,0.715,0.697,0.701,0.695
30,7,7,0.716,0.696,0.701,0.694
30,7,8,0.705,0.685,0.687,0.684
30,7,9,0.716,0.698,0.7,0.698
30,8,0,0.692,0.664,0.665,0.664
30,8,1,0.69,0.673,0.677,0.671
30,8,2,0.686,0.666,0.667,0.667
30,8,3,0.695,0.674,0.675,0.674
30,8,4,0.706,0.688,0.691,0.688
30,8,5,0.704,0.684,0.686,0.684
30,8,6,0.707,0.689,0.694,0.687
30,8,7,0.716,0.697,0.703,0.694
30,8,8,0.713,0.696,0.7,0.694
30,8,9,0.713,0.692,0.695,0.69
30,9,0,0.694,0.666,0.668,0.664
30,9,1,0.685,0.664,0.669,0.661
30,9,2,0.691,0.673,0.675,0.672
30,9,3,0.694,0.674,0.675,0.674
30,9,4,0.7,0.683,0.686,0.682
30,9,5,0.705,0.687,0.689,0.687
30,9,6,0.707,0.688,0.688,0.689
30,9,7,0.707,0.688,0.693,0.685
30,9,8,0.711,0.69,0.694,0.688
30,9,9,0.712,0.695,0.699,0.694
40,0,0,0.712,0.696,0.696,0.697
40,0,1,0.675,0.648,0.655,0.653
40,0,2,0.693,0.671,0.675,0.673
40,0,3,0.699,0.678,0.681,0.678
40,0,4,0.7,0.68,0.68,0.682
40,0,5,0.696,0.676,0.678,0.676
40,0,6,0.709,0.691,0.691,0.691
40,0,7,0.706,0.688,0.689,0.688
40,0,8,0.703,0.683,0.685,0.683
40,0,9,0.712,0.692,0.695,0.691
40,1,0,0.667,0.65,0.656,0.649
40,1,1,0.671,0.646,0.65,0.647
40,1,2,0.689,0.669,0.674,0.668
40,1,3,0.692,0.671,0.677,0.67
40,1,4,0.704,0.685,0.689,0.684
40,1,5,0.706,0.685,0.688,0.684
40,1,6,0.706,0.686,0.691,0.683
40,1,7,0.709,0.691,0.692,0.691
40,1,8,0.717,0.698,0.701,0.697
40,1,9,0.708,0.69,0.693,0.688
40,2,0,0.672,0.656,0.661,0.655
40,2,1,0.677,0.662,0.664,0.663
40,2,2,0.699,0.68,0.684,0.68
40,2,3,0.697,0.68,0.687,0.677
40,2,4,0.696,0.677,0.679,0.678
40,2,5,0.702,0.682,0.685,0.681
40,2,6,0.696,0.678,0.68,0.677
40,2,7,0.703,0.685,0.687,0.684
40,2,8,0.711,0.692,0.696,0.69
40,2,9,0.705,0.687,0.69,0.685
40,3,0,0.684,0.665,0.668,0.663
40,3,1,0.691,0.674,0.677,0.672
40,3,2,0.701,0.68,0.683,0.679
40,3,3,0.697,0.683,0.689,0.68
40,3,4,0.705,0.692,0.698,0.688
40,3,5,0.707,0.689,0.693,0.687
40,3,6,0.704,0.687,0.69,0.685
40,3,7,0.703,0.687,0.691,0.684
40,3,8,0.707,0.688,0.693,0.686
40,3,9,0.71,0.693,0.697,0.691
40,4,0,0.702,0.684,0.688,0.682
40,4,1,0.696,0.678,0.686,0.673
40,4,2,0.701,0.679,0.686,0.674
40,4,3,0.697,0.682,0.687,0.678
40,4,4,0.705,0.688,0.695,0.684
40,4,5,0.706,0.688,0.694,0.684
40,4,6,0.698,0.684,0.687,0.682
40,4,7,0.697,0.681,0.687,0.676
40,4,8,0.701,0.685,0.69,0.681
40,4,9,0.711,0.694,0.699,0.691
40,5,0,0.703,0.687,0.691,0.685
40,5,1,0.7,0.684,0.689,0.679
40,5,2,0.702,0.684,0.692,0.679
40,5,3,0.704,0.689,0.695,0.685
40,5,4,0.701,0.684,0.691,0.68
40,5,5,0.703,0.688,0.695,0.683
40,5,6,0.701,0.685,0.693,0.68
40,5,7,0.706,0.689,0.694,0.686
40,5,8,0.701,0.682,0.689,0.677
40,5,9,0.704,0.686,0.691,0.682
40,6,0,0.702,0.687,0.691,0.684
40,6,1,0.702,0.685,0.689,0.682
40,6,2,0.708,0.69,0.7,0.683
40,6,3,0.696,0.677,0.686,0.67
40,6,4,0.698,0.683,0.689,0.678
40,6,5,0.706,0.69,0.696,0.685
40,6,6,0.708,0.691,0.699,0.685
40,6,7,0.703,0.685,0.692,0.681
40,6,8,0.703,0.686,0.69,0.683
