split,tgt_msg,src_msg,accuracy,f1_score,precision,recall
20,2,5,0.738,0.71,0.73,0.697
20,2,6,0.738,0.71,0.73,0.697
20,2,7,0.738,0.71,0.73,0.697
20,2,8,0.738,0.71,0.73,0.697
20,2,9,0.738,0.71,0.73,0.697
20,3,0,0.736,0.715,0.746,0.698
20,3,1,0.731,0.705,0.73,0.69
20,3,2,0.731,0.705,0.73,0.69
20,3,3,0.749,0.718,0.738,0.705
20,3,4,0.738,0.71,0.73,0.697
20,3,5,0.738,0.71,0.73,0.697
20,3,6,0.738,0.71,0.73,0.697
20,3,7,0.738,0.71,0.73,0.697
20,3,8,0.738,0.71,0.73,0.697
20,3,9,0.738,0.71,0.73,0.697
20,4,0,0.736,0.715,0.746,0.698
20,4,1,0.731,0.705,0.73,0.69
20,4,2,0.731,0.705,0.73,0.69
20,4,3,0.731,0.705,0.73,0.69
20,4,4,0.749,0.718,0.738,0.705
20,4,5,0.738,0.71,0.73,0.697
20,4,6,0.738,0.71,0.73,0.697
20,4,7,0.738,0.71,0.73,0.697
20,4,8,0.738,0.71,0.73,0.697
20,4,9,0.738,0.71,0.73,0.697
20,5,0,0.736,0.715,0.746,0.698
20,5,1,0.731,0.705,0.73,0.69
20,5,2,0.731,0.705,0.73,0.69
20,5,3,0.731,0.705,0.73,0.69
20,5,4,0.731,0.705,0.73,0.69
20,5,5,0.749,0.718,0.738,0.705
20,5,6,0.738,0.71,0.73,0.697
20,5,7,0.738,0.71,0.73,0.697
20,5,8,0.738,0.71,0.73,0.697
20,5,9,0.738,0.71,0.73,0.697
20,6,0,0.736,0.715,0.746,0.698
20,6,1,0.731,0.705,0.73,0.69
20,6,2,0.731,0.705,0.73,0.69
20,6,3,0.731,0.705,0.73,0.69
20,6,4,0.731,0.705,0.73,0.69
20,6,5,0.731,0.705,0.73,0.69
20,6,6,0.749,0.718,0.738,0.705
20,6,7,0.738,0.71,0.73,0.697
20,6,8,0.738,0.71,0.73,0.697
20,6,9,0.738,0.71,0.73,0.697
20,7,0,0.736,0.715,0.746,0.698
20,7,1,0.731,0.705,0.73,0.69
20,7,2,0.731,0.705,0.73,0.69
20,7,3,0.731,0.705,0.73,0.69
20,7,4,0.731,0.705,0.73,0.69
20,7,5,0.731,0.705,0.73,0.69
20,7,6,0.731,0.705,0.73,0.69
20,7,7,0.749,0.718,0.738,0.705
20,7,8,0.738,0.71,0.73,0.697
20,7,9,0.738,0.71,0.73,0.697
20,8,0,0.736,0.715,0.746,0.698
20,8,1,0.731,0.705,0.73,0.69
20,8,2,0.731,0.705,0.73,0.69
20,8,3,0.731,0.705,0.73,0.69
20,8,4,0.731,0.705,0.73,0.69
20,8,5,0.731,0.705,0.73,0.69
20,8,6,0.731,0.705,0.73,0.69
20,8,7,0.731,0.705,0.73,0.69
20,8,8,0.749,0.718,0.738,0.705
20,8,9,0.738,0.71,0.73,0.697
20,9,0,0.736,0.715,0.746,0.698
20,9,1,0.731,0.705,0.73,0.69
20,9,2,0.731,0.705,0.73,0.69
20,9,3,0.731,0.705,0.73,0.69
20,9,4,0.731,0.705,0.73,0.69
20,9,5,0.731,0.705,0.73,0.69
20,9,6,0.731,0.705,0.73,0.69
20,9,7,0.731,0.705,0.73,0.69
20,9,8,0.731,0.705,0.73,0.69
20,9,9,0.749,0.718,0.738,0.705
30,0,0,0.743,0.719,0.744,0.704
30,0,1,0.743,0.717,0.745,0.699
30,0,2,0.743,0.717,0.745,0.699
30,0,3,0.743,0.717,0.745,0.699
30,0,4,0.743,0.717,0.745,0.699
30,0,5,0.743,0.717,0.745,0.699
30,0,6,0.743,0.717,0.745,0.699
30,0,7,0.743,0.717,0.745,0.699
30,0,8,0.743,0.717,0.745,0.699
30,0,9,0.743,0.717,0.745,0.699
30,1,0,0.733,0.713,0.744,0.693
30,1,1,0.749,0.727,0.752,0.71
30,1,2,0.745,0.725,0.757,0.706
30,1,3,0.745,0.725,0.757,0.706
30,1,4,0.745,0.725,0.757,0.706
30,1,5,0.745,0.725,0.757,0.706
30,1,6,0.745,0.725,0.757,0.706
30,1,7,0.745,0.725,0.757,0.706
30,1,8,0.745,0.725,0.757,0.706
30,1,9,0.745,0.725,0.757,0.706
30,2,0,0.733,0.713,0.744,0.693
30,2,1,0.747,0.726,0.756,0.706
30,2,2,0.749,0.727,0.752,0.71
30,2,3,0.745,0.725,0.757,0.706
30,2,4,0.745,0.725,0.757,0.706
30,2,5,0.745,0.725,0.757,0.706
30,2,6,0.745,0.725,0.757,0.706
30,2,7,0.745,0.725,0.757,0.706
30,2,8,0.745,0.725,0.757,0.706
30,2,9,0.745,0.725,0.757,0.706
30,3,0,0.733,0.713,0.744,0.693
30,3,1,0.747,0.726,0.756,0.706
30,3,2,0.747,0.726,0.756,0.706
30,3,3,0.749,0.727,0.752,0.71
30,3,4,0.745,0.725,0.757,0.706
30,3,5,0.745,0.725,0.757,0.706
30,3,6,0.745,0.725,0.757,0.706
30,3,7,0.745,0.725,0.757,0.706
30,3,8,0.745,0.725,0.757,0.706
30,3,9,0.745,0.725,0.757,0.706
30,4,0,0.733,0.713,0.744,0.693
30,4,1,0.747,0.726,0.756,0.706
30,4,2,0.747,0.726,0.756,0.706
30,4,3,0.747,0.726,0.756,0.706
30,4,4,0.749,0.727,0.752,0.71
30,4,5,0.745,0.725,0.757,0.706
30,4,6,0.745,0.725,0.757,0.706
30,4,7,0.745,0.725,0.757,0.706
30,4,8,0.745,0.725,0.757,0.706
30,4,9,0.745,0.725,0.757,0.706
30,5,0,0.733,0.713,0.744,0.693
30,5,1,0.747,0.726,0.756,0.706
30,5,2,0.747,0.726,0.756,0.706
30,5,3,0.747,0.726,0.756,0.706
30,5,4,0.747,0.726,0.756,0.706
30,5,5,0.749,0.727,0.752,0.71
30,5,6,0.745,0.725,0.757,0.706
30,5,7,0.745,0.725,0.757,0.706
30,5,8,0.745,0.725,0.757,0.706
30,5,9,0.745,0.725,0.757,0.706
30,6,0,0.733,0.713,0.744,0.693
30,6,1,0.747,0.726,0.756,0.706
30,6,2,0.747,0.726,0.756,0.706
30,6,3,0.747,0.726,0.756,0.706
30,6,4,0.747,0.726,0.756,0.706
30,6,5,0.747,0.726,0.756,0.706
30,6,6,0.749,0.727,0.752,0.71
30,6,7,0.745,0.725,0.757,0.706
30,6,8,0.745,0.725,0.757,0.706
30,6,9,0.745,0.725,0.757,0.706
30,7,0,0.733,0.713,0.744,0.693
30,7,1,0.747,0.726,0.756,0.706
30,7,2,0.747,0.726,0.756,0.706
30,7,3,0.747,0.726,0.756,0.706
30,7,4,0.747,0.726,0.756,0.706
30,7,5,0.747,0.726,0.756,0.706
30,7,6,0.747,0.726,0.756,0.706
30,7,7,0.749,0.727,0.752,0.71
30,7,8,0.745,0.725,0.757,0.706
30,7,9,0.745,0.725,0.757,0.706
30,8,0,0.733,0.713,0.744,0.693
30,8,1,0.747,0.726,0.756,0.706
30,8,2,0.747,0.726,0.756,0.706
30,8,3,0.747,0.726,0.756,0.706
30,8,4,0.747,0.726,0.756,0.706
30,8,5,0.747,0.726,0.756,0.706
30,8,6,0.747,0.726,0.756,0.706
30,8,7,0.747,0.726,0.756,0.706
30,8,8,0.749,0.727,0.752,0.71
30,8,9,0.745,0.725,0.757,0.706
30,9,0,0.733,0.713,0.744,0.693
30,9,1,0.747,0.726,0.756,0.706
30,9,2,0.747,0.726,0.756,0.706
30,9,3,0.747,0.726,0.756,0.706
30,9,4,0.747,0.726,0.756,0.706
30,9,5,0.747,0.726,0.756,0.706
30,9,6,0.747,0.726,0.756,0.706
30,9,7,0.747,0.726,0.756,0.706
30,9,8,0.747,0.726,0.756,0.706
30,9,9,0.749,0.727,0.752,0.71
40,0,0,0.745,0.727,0.757,0.709
40,0,1,0.736,0.717,0.744,0.699
40,0,2,0.736,0.717,0.744,0.699
40,0,3,0.736,0.717,0.744,0.699
40,0,4,0.736,0.717,0.744,0.699
40,0,5,0.736,0.717,0.744,0.699
40,0,6,0.736,0.717,0.744,0.699
40,0,7,0.736,0.717,0.744,0.699
40,0,8,0.736,0.717,0.744,0.699
40,0,9,0.736,0.717,0.744,0.699
40,1,0,0.734,0.715,0.745,0.696
40,1,1,0.732,0.709,0.741,0.687
40,1,2,0.732,0.71,0.74,0.689
40,1,3,0.732,0.71,0.74,0.689
40,1,4,0.732,0.71,0.74,0.689
40,1,5,0.732,0.71,0.74,0.689
40,1,6,0.732,0.71,0.74,0.689
40,1,7,0.732,0.71,0.74,0.689
40,1,8,0.732,0.71,0.74,0.689
40,1,9,0.732,0.71,0.74,0.689
40,2,0,0.734,0.715,0.745,0.696
40,2,1,0.734,0.711,0.742,0.691
40,2,2,0.732,0.709,0.741,0.687
40,2,3,0.732,0.71,0.74,0.689
40,2,4,0.732,0.71,0.74,0.689
40,2,5,0.732,0.71,0.74,0.689
40,2,6,0.732,0.71,0.74,0.689
40,2,7,0.732,0.71,0.74,0.689
40,2,8,0.732,0.71,0.74,0.689
40,2,9,0.732,0.71,0.74,0.689
40,3,0,0.734,0.715,0.745,0.696
40,3,1,0.734,0.711,0.742,0.691
40,3,2,0.734,0.711,0.742,0.691
40,3,3,0.732,0.709,0.741,0.687
40,3,4,0.732,0.71,0.74,0.689
40,3,5,0.732,0.71,0.74,0.689
40,3,6,0.732,0.71,0.74,0.689
40,3,7,0.732,0.71,0.74,0.689
40,3,8,0.732,0.71,0.74,0.689
40,3,9,0.732,0.71,0.74,0.689
40,4,0,0.734,0.715,0.745,0.696
40,4,1,0.734,0.711,0.742,0.691
40,4,2,0.734,0.711,0.742,0.691
40,4,3,0.734,0.711,0.742,0.691
40,4,4,0.732,0.709,0.741,0.687
40,4,5,0.732,0.71,0.74,0.689
40,4,6,0.732,0.71,0.74,0.689
40,4,7,0.732,0.71,0.74,0.689
40,4,8,0.732,0.71,0.74,0.689
40,4,9,0.732,0.71,0.74,0.689
40,5,0,0.734,0.715,0.745,0.696
40,5,1,0.734,0.711,0.742,0.691
40,5,2,0.734,0.711,0.742,0.691
40,5,3,0.734,0.711,0.742,0.691
40,5,4,0.734,0.711,0.742,0.691
40,5,5,0.732,0.709,0.741,0.687
40,5,6,0.732,0.71,0.74,0.689
40,5,7,0.732,0.71,0.74,0.689
40,5,8,0.732,0.71,0.74,0.689
40,5,9,0.732,0.71,0.74,0.689
40,6,0,0.734,0.715,0.745,0.696
40,6,1,0.734,0.711,0.742,0.691
40,6,2,0.734,0.711,0.742,0.691
40,6,3,0.734,0.711,0.742,0.691
40,6,4,0.734,0.711,0.742,0.691
40,6,5,0.734,0.711,0.742,0.691
40,6,6,0.732,0.709,0.741,0.687
40,6,7,0.732,0.71,0.74,0.689
40,6,8,0.732,0.71,0.74,0.689
40,6,9,0.732,0.71,0.74,0.689
40,7,0,0.734,0.715,0.745,0.696
40,7,1,0.734,0.711,0.742,0.691
40,7,2,0.734,0.711,0.742,0.691
40,7,3,0.734,0.711,0.742,0.691
40,7,4,0.734,0.711,0.742,0.691
40,7,5,0.734,0.711,0.742,0.691
40,7,6,0.734,0.711,0.742,0.691
40,7,7,0.732,0.709,0.741,0.687
40,7,8,0.732,0.71,0.74,0.689
40,7,9,0.732,0.71,0.74,0.689
40,8,0,0.734,0.715,0.745,0.696
40,8,1,0.734,0.711,0.742,0.691
40,8,2,0.734,0.711,0.742,0.691
40,8,3,0.734,0.711,0.742,0.691
40,8,4,0.734,0.711,0.742,0.691
40,8,5,0.734,0.711,0.742,0.691
40,8,6,0.734,0.711,0.742,0.691
40,8,7,0.734,0.711,0.742,0.691
40,8,8,0.732,0.709,0.741,0.687
40,8,9,0.732,0.71,0.74,0.689
40,9,0,0.734,0.715,0.745,0.696
40,9,1,0.734,0.711,0.742,0.691
40,9,2,0.734,0.711,0.742,0.691
40,9,3,0.734,0.711,0.742,0.691
40,9,4,0.734,0.711,0.742,0.691
40,9,5,0.734,0.711,0.742,0.691
40,9,6,0.734,0.711,0.742,0.691
40,9,7,0.734,0.711,0.742,0.691
40,9,8,0.734,0.711,0.742,0.691
40,9,9,0.732,0.709,0.741,0.687
